"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"powerful";0,306438219843648;0,823830852476976;0,348630286992281;0,937260328292881;0,161001100677129;0,83899889932287;4,76091982259907e-05;0,000344097177800112;0,000506996552423443;0,341838190587656;5,92442448510659e-05
"pedagogical";-1,47245934467743;-0,231166445925901;-0,987899752856432;-0,155093772622242;0,982539554798657;0,0174604452013457;0,0010992377416994;2,70928441097204e-05;0,000506996552423443;0,664906171160114;0,000224143285564187
"outcome";0,306438219843648;0,823830852476976;0,348630286992281;0,937260328292881;0,161001100677129;0,83899889932287;4,76091982259907e-05;0,000344097177800112;0,000506996552423443;0,341838190587656;5,92442448510659e-05
"organize";1,22654311145534;-1,4184244882704;0,654090184767173;-0,756416571864502;0,50910047559226;0,490899524407744;0,000762729671597316;0,00102004057438914;0,000506996552423444;0,769437128769589;0,0003001589409497
"ongoing";-1,26797987956714;1,5163980438446;-0,641471757518332;0,76714665110808;0,492319174791228;0,507680825208776;0,00065210828431843;0,000932655861843735;0,000405597241938755;0,808874341865864;0,000265373230958806
"norm";2,10577319059883;0,0323254909139775;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387582;0,00224816504271181;5,29779640453073e-07;0,000506996552423443;0,942628478707367;0,000450491000238372
"movement";0,326875626077749;-1,0226718074889;0,304455197773174;-0,952526657132963;0,12410824738095;0,875891752619051;5,41714028207869e-05;0,000530246210622902;0,000506996552423443;0,415311818015439;8,74487457834561e-05
"literacy";2,10577319059883;0,0323254909139775;0,999882195920468;0,0153490807953935;0,999830122604615;0,000169877395387582;0,00224816504271181;5,29779640453073e-07;0,000506996552423443;0,942628478707367;0,000450491000238372
"librarian";1,20610570522124;0,428078171695477;0,942401842100283;0,334482836638881;0,916735166645221;0,0832648333547806;0,00073752330773029;9,29075852170666e-05;0,000506996552423444;0,563839501999151;0,000161181800859182
"liberal";-1,49289675091153;1,61533621403997;-0,678726047081927;0,734391552928369;0,542261531171976;0,457738468828027;0,00112996385564906;0,0013229117239855;0,000506996552423444;0,907439014897827;0,000417484062948053
"leave";1,22654311145534;-1,4184244882704;0,654090184767173;-0,756416571864502;0,50910047559226;0,490899524407744;0,000762729671597316;0,00102004057438914;0,000506996552423444;0,769437128769589;0,0003001589409497
"late";-1,21688636398188;-3,09985860607009;-0,365414274485284;-0,930844996764979;0,176096366381347;0,823903633618652;0,000600613434534599;0,00389743393941464;0,000405597241938755;1,2979767104166;0,000683327333516077
