personally;3;0;0
perceive;0;1;2
participation;2;0;1
outreach;0;1;2
organization;2;0;1
openness;2;0;1
observe;3;0;0
numerous;3;0;0
note;1;0;2
natural;1;0;2
matthew;3;0;0
materiality;2;0;1
manner;1;0;2
local;3;0;0
linguistics;3;0;0
leverage;2;0;1
landscape;2;0;1
key;1;0;2
journal;3;0;0
interpretive;3;0;0
interdisciplinarity;0;0;3
integral;2;0;1
inside;2;0;1
inquire;1;0;2
hope;2;0;1
historically;1;2;0
harness;2;1;0
gold;3;0;0
gis;3;0;0
german;2;0;1
generally;1;0;2
fundamentally;2;0;1
forward;2;0;1
formulate;1;1;1
formal;2;0;1
fine;3;0;0
figure;1;2;0
fast;1;0;2
familiar;2;1;0
fair;3;0;0
fail;2;0;1
fact;3;0;0
experimentation;3;0;0
evidence;2;1;0
evaluation;1;0;2
establish;1;0;2
era;2;0;1
endeavour;3;0;0
employ;0;0;3
embed;1;0;2
efficiency;2;0;1
effective;1;2;0
distribute;1;2;0
distant;2;1;0
differently;3;0;0
difference;2;1;0
dialogue;2;0;1
developer;0;0;3
designer;3;0;0
derive;1;0;2
dependent;2;0;1
democratization;2;1;0
cut;3;0;0
crossroad;1;1;1
craft;1;1;1
continue;2;0;1
consideration;1;0;2
conservative;3;0;0
conscious;1;1;1
colleague;2;0;1
collaboratively;2;0;1
capture;1;1;1
branch;3;0;0
brain;2;0;1
belief;3;0;0
bad;1;0;2
aware;1;1;1
argument;3;0;0
anymore;1;0;2
anthropology;3;0;0
amount;1;0;2
alongside;1;1;1
algorithm;1;0;2
al;2;0;1
afford;1;1;1
active;1;1;1
acknowledge;1;1;1
achieve;2;0;1
accessibility;0;0;3
