"V1";"V2";"V3";"V4";"V5";"V6"
" 1";" 13";" 7.69";" -7.658";"interpretation";"5.651904e-03"
" 1";" 13";" 7.69";" -7.658";"year";"5.651904e-03"
" 1";" 13";" 7.69";" -7.658";"condition";"5.651904e-03"
" 0";"  9";" 0.00";" -7.631";"great";"5.737539e-03"
" 0";"  9";" 0.00";" -7.631";"current";"5.737539e-03"
" 0";"  9";" 0.00";" -7.631";"connect";"5.737539e-03"
" 0";"  9";" 0.00";" -7.631";"put";"5.737539e-03"
" 5";" 26";"19.23";" -7.543";"set";"6.023332e-03"
" 6";" 29";"20.69";" -7.540";"project";"6.035610e-03"
" 8";" 34";"23.53";" -6.987";"object";"8.210529e-03"
" 4";" 22";"18.18";" -6.862";"change";"8.802687e-03"
" 1";" 12";" 8.33";" -6.822";"electronic";"9.002423e-03"
" 1";" 12";" 8.33";" -6.822";"place";"9.002423e-03"
" 0";"  8";" 0.00";" -6.774";"big";"9.250942e-03"
" 0";"  8";" 0.00";" -6.774";"user";"9.250942e-03"
" 0";"  8";" 0.00";" -6.774";"mine";"9.250942e-03"
" 0";"  8";" 0.00";" -6.774";"artifact";"9.250942e-03"
" 0";"  8";" 0.00";" -6.774";"improve";"9.250942e-03"
" 2";" 15";"13.33";" -6.419";"online";"1.129333e-02"
"12";" 44";"27.27";" -6.323";"term";"1.192092e-02"
" 6";" 27";"22.22";" -6.164";"learn";"1.303527e-02"
" 4";" 21";"19.05";" -6.134";"umbrella";"1.325757e-02"
"14";" 49";"28.57";" -6.122";"mean";"1.335297e-02"
" 1";" 11";" 9.09";" -5.994";"heritage";"1.435702e-02"
" 1";" 11";" 9.09";" -5.994";"image";"1.435702e-02"
" 0";"  7";" 0.00";" -5.919";"game";"1.497956e-02"
" 0";"  7";" 0.00";" -5.919";"today";"1.497956e-02"
" 0";"  7";" 0.00";" -5.919";"academy";"1.497956e-02"
" 0";"  7";" 0.00";" -5.919";"separate";"1.497956e-02"
" 0";"  7";" 0.00";" -5.919";"remain";"1.497956e-02"
" 0";"  7";" 0.00";" -5.919";"reflect";"1.497956e-02"
" 0";"  7";" 0.00";" -5.919";"institution";"1.497956e-02"
" 0";"  7";" 0.00";" -5.919";"generate";"1.497956e-02"
" 0";"  7";" 0.00";" -5.919";"feel";"1.497956e-02"
" 0";"  7";" 0.00";" -5.919";"difficult";"1.497956e-02"
" 8";" 32";"25.00";" -5.712";"scholarly";"1.685189e-02"
" 2";" 14";"14.29";" -5.634";"space";"1.761355e-02"
" 2";" 14";"14.29";" -5.634";"publish";"1.761355e-02"
" 6";" 26";"23.08";" -5.502";"process";"1.899759e-02"
" 3";" 17";"17.65";" -5.473";"impact";"1.930763e-02"
" 1";" 10";"10.00";" -5.174";"add";"2.293342e-02"
" 0";"  6";" 0.00";" -5.066";"word";"2.439458e-02"
" 0";"  6";" 0.00";" -5.066";"start";"2.439458e-02"
