"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"179";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"180";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"181";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"182";2;4;6;8;11;12;15;17;19;21;23;25;25;29;29;29;29;29;29
"183";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"184";2;4;6;8;11;12;15;17;19;20;20;20;20;20;20;20;20;20;20
"185";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;35;35;35
"186";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"187";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"188";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"189";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"190";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"191";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"192";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"193";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"194";2;4;6;8;11;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"195";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"196";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"197";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"198";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"199";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"200";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;39
"201";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"202";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
"203";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"204";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;32;34;34;34
"205";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"206";2;4;6;8;11;12;14;14;14;14;14;14;26;26;26;26;26;36;38
"207";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"208";2;4;6;8;11;12;14;14;14;14;14;14;27;27;27;33;33;33;33
"209";2;4;6;8;11;12;15;17;19;21;23;24;24;24;24;24;24;24;24
"210";2;4;6;8;11;12;15;17;19;21;23;25;25;28;30;30;30;30;30
"211";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"212";2;4;6;8;11;12;15;17;18;18;18;18;18;18;18;18;18;18;18
"213";2;4;6;8;11;12;15;17;19;21;23;25;25;28;31;31;31;31;31
